id,Client Sent,Server Recived,Model runtime,Server sent,Client Recived
4,2024-05-17 13:56:14.552236,2024-05-17 13:56:14.553056,0.03020477294921875,2024-05-17 13:56:14.589612,2024-05-17 13:56:14.552768
5,2024-05-17 13:56:14.673809,2024-05-17 13:56:14.674623,0.03133225440979004,2024-05-17 13:56:14.712051,2024-05-17 13:56:14.674417
6,2024-05-17 13:56:14.788085,2024-05-17 13:56:14.788795,0.03493237495422363,2024-05-17 13:56:14.832357,2024-05-17 13:56:14.788641
7,2024-05-17 13:56:14.844742,2024-05-17 13:56:14.845299,0.02944159507751465,2024-05-17 13:56:14.881562,2024-05-17 13:56:14.845141
8,2024-05-17 13:56:14.893884,2024-05-17 13:56:14.894564,0.02907085418701172,2024-05-17 13:56:14.929681,2024-05-17 13:56:14.894349
9,2024-05-17 13:56:14.993402,2024-05-17 13:56:14.994298,0.0293271541595459,2024-05-17 13:56:15.029749,2024-05-17 13:56:14.994027
10,2024-05-17 13:56:15.061580,2024-05-17 13:56:15.062390,0.03072357177734375,2024-05-17 13:56:15.099211,2024-05-17 13:56:15.062174
11,2024-05-17 13:56:15.141681,2024-05-17 13:56:15.142434,0.03043532371520996,2024-05-17 13:56:15.179676,2024-05-17 13:56:15.142154
12,2024-05-17 13:56:15.261429,2024-05-17 13:56:15.262294,0.03274679183959961,2024-05-17 13:56:15.301172,2024-05-17 13:56:15.261979
13,2024-05-17 13:56:15.346096,2024-05-17 13:56:15.346865,0.03189992904663086,2024-05-17 13:56:15.384872,2024-05-17 13:56:15.346569
14,2024-05-17 13:56:15.421175,2024-05-17 13:56:15.421880,0.03170609474182129,2024-05-17 13:56:15.459695,2024-05-17 13:56:15.421619
15,2024-05-17 13:56:15.701843,2024-05-17 13:56:15.702496,0.03375816345214844,2024-05-17 13:56:15.742316,2024-05-17 13:56:15.702372
16,2024-05-17 13:56:15.781003,2024-05-17 13:56:15.781726,0.03161263465881348,2024-05-17 13:56:15.819283,2024-05-17 13:56:15.781397
